CustomerID,R_Score,F_Score,M_Score,RFM_Score,Segment
17509.0,5,5,5,555,Champions
17203.0,5,5,5,555,Champions
18139.0,5,5,5,555,Champions
12856.0,5,5,5,555,Champions
15993.0,5,5,5,555,Champions
13685.0,5,5,5,555,Champions
14547.0,5,5,5,555,Champions
13755.0,5,5,5,555,Champions
17850.0,5,5,5,555,Champions
15473.0,5,5,4,554,Loyal Customers
14723.0,5,5,4,554,Loyal Customers
16790.0,5,5,4,554,Loyal Customers
17086.0,5,5,4,554,Loyal Customers
14653.0,5,5,4,554,Loyal Customers
12536.0,5,4,5,545,Loyal Customers
15113.0,5,4,5,545,Loyal Customers
14554.0,5,4,5,545,Loyal Customers
17406.0,5,4,5,545,Loyal Customers
15485.0,5,4,5,545,Loyal Customers
13174.0,5,4,5,545,Loyal Customers
16000.0,5,4,5,545,Loyal Customers
13297.0,5,4,5,545,Loyal Customers
13471.0,5,4,5,545,Loyal Customers
14121.0,5,4,5,545,Loyal Customers
13680.0,5,4,5,545,Loyal Customers
14251.0,5,4,5,545,Loyal Customers
16120.0,5,4,4,544,Loyal Customers
15787.0,5,4,4,544,Loyal Customers
16416.0,5,4,4,544,Loyal Customers
18130.0,5,4,4,544,Loyal Customers
16533.0,5,4,4,544,Loyal Customers
14971.0,5,4,4,544,Loyal Customers
13447.0,5,4,4,544,Loyal Customers
17500.0,5,4,4,544,Loyal Customers
15009.0,5,4,4,544,Loyal Customers
14856.0,5,4,4,544,Loyal Customers
16079.0,5,4,4,544,Loyal Customers
15427.0,5,4,4,544,Loyal Customers
13810.0,5,4,4,544,Loyal Customers
16295.0,5,4,4,544,Loyal Customers
15814.0,5,4,4,544,Loyal Customers
15156.0,5,4,4,544,Loyal Customers
17951.0,5,4,4,544,Loyal Customers
13521.0,5,4,4,544,Loyal Customers
15680.0,5,4,4,544,Loyal Customers
17621.0,5,4,4,544,Loyal Customers
17590.0,5,4,4,544,Loyal Customers
15111.0,5,4,4,544,Loyal Customers
12950.0,5,4,4,544,Loyal Customers
17324.0,5,4,4,544,Loyal Customers
16688.0,5,4,4,544,Loyal Customers
17350.0,5,4,4,544,Loyal Customers
15621.0,5,4,4,544,Loyal Customers
15983.0,5,4,4,544,Loyal Customers
15332.0,5,4,4,544,Loyal Customers
14216.0,5,4,4,544,Loyal Customers
13882.0,5,4,4,544,Loyal Customers
14698.0,5,4,4,544,Loyal Customers
14102.0,5,4,4,544,Loyal Customers
12912.0,5,4,4,544,Loyal Customers
14673.0,5,4,4,544,Loyal Customers
14805.0,5,4,3,543,Loyal Customers
14467.0,5,4,3,543,Loyal Customers
14710.0,5,4,3,543,Loyal Customers
17523.0,5,4,3,543,Loyal Customers
17502.0,5,4,3,543,Loyal Customers
14234.0,5,4,3,543,Loyal Customers
15022.0,5,4,3,543,Loyal Customers
17062.0,5,4,3,543,Loyal Customers
13558.0,5,4,3,543,Loyal Customers
15028.0,5,4,3,543,Loyal Customers
17796.0,5,4,3,543,Loyal Customers
17812.0,5,4,3,543,Loyal Customers
15965.0,5,4,3,543,Loyal Customers
16513.0,5,4,3,543,Loyal Customers
15881.0,5,4,3,543,Loyal Customers
12723.0,5,4,3,543,Loyal Customers
15060.0,5,4,2,542,Loyal Customers
14910.0,5,4,2,542,Loyal Customers
12970.0,5,4,2,542,Loyal Customers
16500.0,5,4,2,542,Loyal Customers
12578.0,5,3,5,535,Loyal Customers
17084.0,5,3,5,535,Loyal Customers
13868.0,5,3,5,535,Loyal Customers
16934.0,5,3,4,534,Loyal Customers
15478.0,5,3,4,534,Loyal Customers
12371.0,5,3,4,534,Loyal Customers
17100.0,5,3,4,534,Loyal Customers
13363.0,5,3,4,534,Loyal Customers
15977.0,5,3,4,534,Loyal Customers
13467.0,5,3,4,534,Loyal Customers
15088.0,5,3,4,534,Loyal Customers
14893.0,5,3,4,534,Loyal Customers
15497.0,5,3,4,534,Loyal Customers
12630.0,5,3,4,534,Loyal Customers
13396.0,5,3,4,534,Loyal Customers
15444.0,5,3,4,534,Loyal Customers
12882.0,5,3,4,534,Loyal Customers
16986.0,5,3,4,534,Loyal Customers
17082.0,5,3,4,534,Loyal Customers
15948.0,5,3,4,534,Loyal Customers
14629.0,5,3,4,534,Loyal Customers
14138.0,5,3,4,534,Loyal Customers
16376.0,5,3,4,534,Loyal Customers
12572.0,5,3,4,534,Loyal Customers
13165.0,5,3,4,534,Loyal Customers
14904.0,5,3,4,534,Loyal Customers
13455.0,5,3,4,534,Loyal Customers
12985.0,5,3,4,534,Loyal Customers
12646.0,5,3,4,534,Loyal Customers
12377.0,5,3,4,534,Loyal Customers
12967.0,5,3,4,534,Loyal Customers
12762.0,5,3,4,534,Loyal Customers
15531.0,5,3,4,534,Loyal Customers
14544.0,5,3,4,534,Loyal Customers
15821.0,5,3,3,533,Loyal Customers
15339.0,5,3,3,533,Loyal Customers
13049.0,5,3,3,533,Loyal Customers
17459.0,5,3,3,533,Loyal Customers
17934.0,5,3,3,533,Loyal Customers
14179.0,5,3,3,533,Loyal Customers
17018.0,5,3,3,533,Loyal Customers
17545.0,5,3,3,533,Loyal Customers
16352.0,5,3,3,533,Loyal Customers
17329.0,5,3,3,533,Loyal Customers
14539.0,5,3,3,533,Loyal Customers
13816.0,5,3,3,533,Loyal Customers
12784.0,5,3,3,533,Loyal Customers
17540.0,5,3,3,533,Loyal Customers
18123.0,5,3,3,533,Loyal Customers
14882.0,5,3,3,533,Loyal Customers
16311.0,5,3,3,533,Loyal Customers
13914.0,5,3,3,533,Loyal Customers
14664.0,5,3,3,533,Loyal Customers
13028.0,5,3,3,533,Loyal Customers
17397.0,5,3,3,533,Loyal Customers
15330.0,5,3,3,533,Loyal Customers
17425.0,5,3,3,533,Loyal Customers
14550.0,5,3,3,533,Loyal Customers
14815.0,5,3,3,533,Loyal Customers
17387.0,5,3,3,533,Loyal Customers
16284.0,5,3,3,533,Loyal Customers
16747.0,5,3,3,533,Loyal Customers
16070.0,5,3,3,533,Loyal Customers
16347.0,5,3,3,533,Loyal Customers
15654.0,5,3,3,533,Loyal Customers
14618.0,5,3,3,533,Loyal Customers
17295.0,5,3,3,533,Loyal Customers
14592.0,5,3,3,533,Loyal Customers
15297.0,5,3,3,533,Loyal Customers
18035.0,5,3,3,533,Loyal Customers
17461.0,5,3,3,533,Loyal Customers
13212.0,5,3,3,533,Loyal Customers
16164.0,5,3,3,533,Loyal Customers
16020.0,5,3,3,533,Loyal Customers
16900.0,5,3,3,533,Loyal Customers
18096.0,5,3,3,533,Loyal Customers
15877.0,5,3,3,533,Loyal Customers
16368.0,5,3,3,533,Loyal Customers
17495.0,5,3,3,533,Loyal Customers
16863.0,5,3,3,533,Loyal Customers
16561.0,5,3,3,533,Loyal Customers
17290.0,5,3,3,533,Loyal Customers
12793.0,5,3,3,533,Loyal Customers
16811.0,5,3,3,533,Loyal Customers
17235.0,5,3,3,533,Loyal Customers
17503.0,5,3,3,533,Loyal Customers
16916.0,5,3,3,533,Loyal Customers
12872.0,5,3,3,533,Loyal Customers
17890.0,5,3,3,533,Loyal Customers
12944.0,5,3,3,533,Loyal Customers
17119.0,5,3,3,533,Loyal Customers
12673.0,5,3,3,533,Loyal Customers
16134.0,5,3,3,533,Loyal Customers
13822.0,5,3,3,533,Loyal Customers
15919.0,5,3,3,533,Loyal Customers
13034.0,5,3,3,533,Loyal Customers
12719.0,5,3,3,533,Loyal Customers
13496.0,5,3,3,533,Loyal Customers
14150.0,5,3,3,533,Loyal Customers
13040.0,5,3,3,533,Loyal Customers
14788.0,5,3,3,533,Loyal Customers
12838.0,5,3,3,533,Loyal Customers
18085.0,5,3,3,533,Loyal Customers
13596.0,5,3,3,533,Loyal Customers
17321.0,5,3,3,533,Loyal Customers
15274.0,5,3,3,533,Loyal Customers
16140.0,5,3,3,533,Loyal Customers
17666.0,5,3,3,533,Loyal Customers
18156.0,5,3,3,533,Loyal Customers
13329.0,5,3,3,533,Loyal Customers
13030.0,5,3,3,533,Loyal Customers
16367.0,5,3,3,533,Loyal Customers
15649.0,5,3,3,533,Loyal Customers
16560.0,5,3,3,533,Loyal Customers
15822.0,5,3,3,533,Loyal Customers
15211.0,5,3,3,533,Loyal Customers
17566.0,5,3,3,533,Loyal Customers
14140.0,5,3,3,533,Loyal Customers
17014.0,5,3,3,533,Loyal Customers
13318.0,5,3,3,533,Loyal Customers
12577.0,5,3,3,533,Loyal Customers
17198.0,5,3,3,533,Loyal Customers
16015.0,5,3,3,533,Loyal Customers
14126.0,5,3,3,533,Loyal Customers
12628.0,5,3,3,533,Loyal Customers
16759.0,5,3,3,533,Loyal Customers
12427.0,5,3,3,533,Loyal Customers
15525.0,5,3,3,533,Loyal Customers
15100.0,5,3,3,533,Loyal Customers
13473.0,5,3,2,532,Loyal Customers
17418.0,5,3,2,532,Loyal Customers
15468.0,5,3,2,532,Loyal Customers
17330.0,5,3,2,532,Loyal Customers
17432.0,5,3,2,532,Loyal Customers
16372.0,5,3,2,532,Loyal Customers
16343.0,5,3,2,532,Loyal Customers
17078.0,5,3,2,532,Loyal Customers
17357.0,5,3,2,532,Loyal Customers
17595.0,5,3,2,532,Loyal Customers
13673.0,5,3,2,532,Loyal Customers
12508.0,5,3,2,532,Loyal Customers
16243.0,5,3,2,532,Loyal Customers
15967.0,5,3,2,532,Loyal Customers
18034.0,5,3,2,532,Loyal Customers
16884.0,5,3,2,532,Loyal Customers
12452.0,5,3,2,532,Loyal Customers
12552.0,5,3,2,532,Loyal Customers
15963.0,5,3,2,532,Loyal Customers
13066.0,5,3,2,532,Loyal Customers
12504.0,5,3,2,532,Loyal Customers
17555.0,5,3,2,532,Loyal Customers
17453.0,5,3,2,532,Loyal Customers
14416.0,5,3,2,532,Loyal Customers
18059.0,5,3,2,532,Loyal Customers
16478.0,5,3,2,532,Loyal Customers
16930.0,5,3,2,532,Loyal Customers
12498.0,5,3,2,532,Loyal Customers
16499.0,5,3,2,532,Loyal Customers
13569.0,5,3,2,532,Loyal Customers
14448.0,5,3,2,532,Loyal Customers
14594.0,5,3,2,532,Loyal Customers
17999.0,5,3,2,532,Loyal Customers
13817.0,5,3,2,532,Loyal Customers
15883.0,5,3,2,532,Loyal Customers
18154.0,5,3,2,532,Loyal Customers
13255.0,5,3,2,532,Loyal Customers
12386.0,5,3,2,532,Loyal Customers
17913.0,5,3,2,532,Loyal Customers
17232.0,5,3,2,532,Loyal Customers
15012.0,5,3,2,532,Loyal Customers
13506.0,5,3,2,532,Loyal Customers
13579.0,5,3,2,532,Loyal Customers
17964.0,5,3,2,532,Loyal Customers
14396.0,5,3,2,532,Loyal Customers
16851.0,5,3,2,532,Loyal Customers
17835.0,5,3,2,532,Loyal Customers
17025.0,5,3,2,532,Loyal Customers
17371.0,5,3,2,532,Loyal Customers
12827.0,5,3,2,532,Loyal Customers
16885.0,5,3,2,532,Loyal Customers
15516.0,5,3,1,531,Loyal Customers
14836.0,5,3,1,531,Loyal Customers
14385.0,5,3,1,531,Loyal Customers
13422.0,5,2,5,525,Loyal Customers
12454.0,5,2,5,525,Loyal Customers
17313.0,5,2,5,525,Loyal Customers
12357.0,5,2,5,525,Loyal Customers
15195.0,5,2,5,525,Loyal Customers
17244.0,5,2,4,524,Loyal Customers
12446.0,5,2,4,524,Loyal Customers
16260.0,5,2,4,524,Loyal Customers
14488.0,5,2,4,524,Loyal Customers
13635.0,5,2,4,524,Loyal Customers
16563.0,5,2,4,524,Loyal Customers
13853.0,5,2,4,524,Loyal Customers
12611.0,5,2,4,524,Loyal Customers
13878.0,5,2,4,524,Loyal Customers
17354.0,5,2,4,524,Loyal Customers
12607.0,5,2,4,524,Loyal Customers
12398.0,5,2,4,524,Loyal Customers
13763.0,5,2,4,524,Loyal Customers
16380.0,5,2,4,524,Loyal Customers
17044.0,5,2,4,524,Loyal Customers
17197.0,5,2,4,524,Loyal Customers
17727.0,5,2,4,524,Loyal Customers
16800.0,5,2,4,524,Loyal Customers
12349.0,5,2,4,524,Loyal Customers
16751.0,5,2,4,524,Loyal Customers
16270.0,5,2,4,524,Loyal Customers
16754.0,5,2,4,524,Loyal Customers
15000.0,5,2,3,523,Loyal Customers
13176.0,5,2,3,523,Loyal Customers
15300.0,5,2,3,523,Loyal Customers
15142.0,5,2,3,523,Loyal Customers
15193.0,5,2,3,523,Loyal Customers
15006.0,5,2,3,523,Loyal Customers
14158.0,5,2,3,523,Loyal Customers
14317.0,5,2,3,523,Loyal Customers
12863.0,5,2,3,523,Loyal Customers
17712.0,5,2,3,523,Loyal Customers
13278.0,5,2,3,523,Loyal Customers
17520.0,5,2,3,523,Loyal Customers
14474.0,5,2,3,523,Loyal Customers
13260.0,5,2,3,523,Loyal Customers
16345.0,5,2,3,523,Loyal Customers
12420.0,5,2,3,523,Loyal Customers
12667.0,5,2,3,523,Loyal Customers
12631.0,5,2,3,523,Loyal Customers
16127.0,5,2,3,523,Loyal Customers
16708.0,5,2,3,523,Loyal Customers
15677.0,5,2,3,523,Loyal Customers
16056.0,5,2,3,523,Loyal Customers
13464.0,5,2,3,523,Loyal Customers
13607.0,5,2,3,523,Loyal Customers
13587.0,5,2,3,523,Loyal Customers
12475.0,5,2,3,523,Loyal Customers
16491.0,5,2,3,523,Loyal Customers
14923.0,5,2,3,523,Loyal Customers
15255.0,5,2,3,523,Loyal Customers
12772.0,5,2,3,523,Loyal Customers
15066.0,5,2,3,523,Loyal Customers
13689.0,5,2,3,523,Loyal Customers
14015.0,5,2,3,523,Loyal Customers
13732.0,5,2,3,523,Loyal Customers
15721.0,5,2,3,523,Loyal Customers
13721.0,5,2,3,523,Loyal Customers
17623.0,5,2,3,523,Loyal Customers
12479.0,5,2,3,523,Loyal Customers
16602.0,5,2,3,523,Loyal Customers
15043.0,5,2,3,523,Loyal Customers
17806.0,5,2,3,523,Loyal Customers
15830.0,5,2,3,523,Loyal Customers
15720.0,5,2,3,523,Loyal Customers
16732.0,5,2,3,523,Loyal Customers
14675.0,5,2,3,523,Loyal Customers
15645.0,5,2,3,523,Loyal Customers
15275.0,5,2,3,523,Loyal Customers
14382.0,5,2,3,523,Loyal Customers
17985.0,5,2,3,523,Loyal Customers
18022.0,5,2,3,523,Loyal Customers
12638.0,5,2,3,523,Loyal Customers
12658.0,5,2,3,523,Loyal Customers
18082.0,5,2,3,523,Loyal Customers
17761.0,5,2,3,523,Loyal Customers
14725.0,5,2,3,523,Loyal Customers
14756.0,5,2,3,523,Loyal Customers
12603.0,5,2,3,523,Loyal Customers
12374.0,5,2,3,523,Loyal Customers
18104.0,5,2,3,523,Loyal Customers
16505.0,5,2,3,523,Loyal Customers
12847.0,5,2,3,523,Loyal Customers
15576.0,5,2,3,523,Loyal Customers
15539.0,5,2,3,523,Loyal Customers
13874.0,5,2,3,523,Loyal Customers
13270.0,5,2,3,523,Loyal Customers
16535.0,5,2,3,523,Loyal Customers
16718.0,5,2,3,523,Loyal Customers
15773.0,5,2,3,523,Loyal Customers
12478.0,5,2,3,523,Loyal Customers
13370.0,5,2,3,523,Loyal Customers
12713.0,5,2,3,523,Loyal Customers
13897.0,5,2,2,522,Loyal Customers
13845.0,5,2,2,522,Loyal Customers
15766.0,5,2,2,522,Loyal Customers
15385.0,5,2,2,522,Loyal Customers
14484.0,5,2,2,522,Loyal Customers
13801.0,5,2,2,522,Loyal Customers
16071.0,5,2,2,522,Loyal Customers
16177.0,5,2,2,522,Loyal Customers
16803.0,5,2,2,522,Loyal Customers
18276.0,5,2,2,522,Loyal Customers
17973.0,5,2,2,522,Loyal Customers
16183.0,5,2,2,522,Loyal Customers
17839.0,5,2,2,522,Loyal Customers
12519.0,5,2,2,522,Loyal Customers
16826.0,5,2,2,522,Loyal Customers
17201.0,5,2,2,522,Loyal Customers
13923.0,5,2,2,522,Loyal Customers
15678.0,5,2,2,522,Loyal Customers
17222.0,5,2,2,522,Loyal Customers
14537.0,5,2,2,522,Loyal Customers
16595.0,5,2,2,522,Loyal Customers
16052.0,5,2,2,522,Loyal Customers
16758.0,5,2,2,522,Loyal Customers
13351.0,5,2,2,522,Loyal Customers
17878.0,5,2,2,522,Loyal Customers
16982.0,5,2,2,522,Loyal Customers
17205.0,5,2,2,522,Loyal Customers
15664.0,5,2,2,522,Loyal Customers
16776.0,5,2,2,522,Loyal Customers
15592.0,5,2,2,522,Loyal Customers
14752.0,5,2,2,522,Loyal Customers
17614.0,5,2,2,522,Loyal Customers
15837.0,5,2,2,522,Loyal Customers
15345.0,5,2,2,522,Loyal Customers
15264.0,5,2,2,522,Loyal Customers
18067.0,5,2,2,522,Loyal Customers
13594.0,5,2,2,522,Loyal Customers
12824.0,5,2,2,522,Loyal Customers
13352.0,5,2,2,522,Loyal Customers
15158.0,5,2,2,522,Loyal Customers
15127.0,5,2,2,522,Loyal Customers
13974.0,5,2,2,522,Loyal Customers
14333.0,5,2,2,522,Loyal Customers
14139.0,5,2,2,522,Loyal Customers
15803.0,5,2,2,522,Loyal Customers
16737.0,5,2,2,522,Loyal Customers
18240.0,5,2,2,522,Loyal Customers
15930.0,5,2,2,522,Loyal Customers
15994.0,5,2,2,522,Loyal Customers
12740.0,5,2,2,522,Loyal Customers
12403.0,5,2,2,522,Loyal Customers
15360.0,5,2,2,522,Loyal Customers
13602.0,5,2,2,522,Loyal Customers
13245.0,5,2,2,522,Loyal Customers
16881.0,5,2,2,522,Loyal Customers
15553.0,5,2,2,522,Loyal Customers
13359.0,5,2,2,522,Loyal Customers
14638.0,5,2,2,522,Loyal Customers
15739.0,5,2,2,522,Loyal Customers
12448.0,5,2,2,522,Loyal Customers
14184.0,5,2,2,522,Loyal Customers
14967.0,5,2,2,522,Loyal Customers
16742.0,5,2,2,522,Loyal Customers
15091.0,5,2,2,522,Loyal Customers
14761.0,5,2,2,522,Loyal Customers
16685.0,5,2,2,522,Loyal Customers
15579.0,5,2,2,522,Loyal Customers
14427.0,5,2,2,522,Loyal Customers
16956.0,5,2,2,522,Loyal Customers
15010.0,5,2,2,522,Loyal Customers
15699.0,5,2,2,522,Loyal Customers
17458.0,5,2,2,522,Loyal Customers
14703.0,5,2,2,522,Loyal Customers
13986.0,5,2,2,522,Loyal Customers
18117.0,5,2,2,522,Loyal Customers
14424.0,5,2,2,522,Loyal Customers
17793.0,5,2,2,522,Loyal Customers
15597.0,5,2,2,522,Loyal Customers
16830.0,5,2,2,522,Loyal Customers
16366.0,5,2,2,522,Loyal Customers
16318.0,5,2,2,522,Loyal Customers
15153.0,5,2,2,522,Loyal Customers
12953.0,5,2,2,522,Loyal Customers
14902.0,5,2,2,522,Loyal Customers
14954.0,5,2,2,522,Loyal Customers
15619.0,5,2,2,522,Loyal Customers
15115.0,5,2,2,522,Loyal Customers
13091.0,5,2,2,522,Loyal Customers
16423.0,5,2,2,522,Loyal Customers
12532.0,5,2,2,522,Loyal Customers
13332.0,5,2,2,522,Loyal Customers
15900.0,5,2,2,522,Loyal Customers
15870.0,5,2,2,522,Loyal Customers
12617.0,5,2,2,522,Loyal Customers
16971.0,5,2,2,522,Loyal Customers
13844.0,5,2,2,522,Loyal Customers
12538.0,5,2,2,522,Loyal Customers
14528.0,5,2,2,522,Loyal Customers
17911.0,5,2,2,522,Loyal Customers
14950.0,5,2,2,522,Loyal Customers
12544.0,5,2,2,522,Loyal Customers
16903.0,5,2,2,522,Loyal Customers
15025.0,5,2,2,522,Loyal Customers
12890.0,5,2,2,522,Loyal Customers
18181.0,5,2,2,522,Loyal Customers
16207.0,5,2,2,522,Loyal Customers
18164.0,5,2,2,522,Loyal Customers
17379.0,5,2,2,522,Loyal Customers
16204.0,5,2,2,522,Loyal Customers
15269.0,5,2,2,522,Loyal Customers
17052.0,5,2,2,522,Loyal Customers
15725.0,5,2,2,522,Loyal Customers
15957.0,5,2,2,522,Loyal Customers
15450.0,5,2,2,522,Loyal Customers
12795.0,5,2,2,522,Loyal Customers
15551.0,5,2,2,522,Loyal Customers
16025.0,5,2,2,522,Loyal Customers
15524.0,5,2,2,522,Loyal Customers
14093.0,5,2,2,522,Loyal Customers
18006.0,5,2,2,522,Loyal Customers
15368.0,5,2,2,522,Loyal Customers
12491.0,5,2,2,522,Loyal Customers
12391.0,5,2,2,522,Loyal Customers
15557.0,5,2,2,522,Loyal Customers
18216.0,5,2,2,522,Loyal Customers
16504.0,5,2,2,522,Loyal Customers
15355.0,5,2,2,522,Loyal Customers
14784.0,5,2,2,522,Loyal Customers
17081.0,5,2,2,522,Loyal Customers
16479.0,5,2,2,522,Loyal Customers
15054.0,5,2,2,522,Loyal Customers
17237.0,5,2,2,522,Loyal Customers
16855.0,5,2,2,522,Loyal Customers
13727.0,5,2,2,522,Loyal Customers
13068.0,5,2,2,522,Loyal Customers
15872.0,5,2,2,522,Loyal Customers
16781.0,5,2,2,522,Loyal Customers
14142.0,5,2,2,522,Loyal Customers
12785.0,5,2,2,522,Loyal Customers
15318.0,5,2,2,522,Loyal Customers
14729.0,5,2,2,522,Loyal Customers
12650.0,5,2,2,522,Loyal Customers
15204.0,5,2,2,522,Loyal Customers
15363.0,5,2,2,522,Loyal Customers
17914.0,5,2,2,522,Loyal Customers
15880.0,5,2,2,522,Loyal Customers
15520.0,5,2,2,522,Loyal Customers
13790.0,5,2,2,522,Loyal Customers
13108.0,5,2,2,522,Loyal Customers
15789.0,5,2,2,522,Loyal Customers
17976.0,5,2,2,522,Loyal Customers
14804.0,5,2,2,522,Loyal Customers
16274.0,5,2,2,522,Loyal Customers
13298.0,5,2,2,522,Loyal Customers
14932.0,5,2,2,522,Loyal Customers
16202.0,5,2,2,522,Loyal Customers
15922.0,5,2,2,522,Loyal Customers
16065.0,5,2,2,522,Loyal Customers
16858.0,5,2,2,522,Loyal Customers
12515.0,5,2,2,522,Loyal Customers
17936.0,5,2,2,522,Loyal Customers
15221.0,5,2,2,522,Loyal Customers
16795.0,5,2,2,522,Loyal Customers
15361.0,5,2,2,522,Loyal Customers
17525.0,5,2,2,522,Loyal Customers
12725.0,5,2,2,522,Loyal Customers
17880.0,5,2,2,522,Loyal Customers
15471.0,5,2,2,522,Loyal Customers
18176.0,5,2,2,522,Loyal Customers
16812.0,5,2,2,522,Loyal Customers
13153.0,5,2,2,522,Loyal Customers
15165.0,5,2,2,522,Loyal Customers
18074.0,5,2,2,522,Loyal Customers
16048.0,5,2,2,522,Loyal Customers
17430.0,5,2,2,522,Loyal Customers
17254.0,5,2,2,522,Loyal Customers
16313.0,5,2,2,522,Loyal Customers
17760.0,5,2,2,522,Loyal Customers
17691.0,5,2,2,522,Loyal Customers
15545.0,5,2,2,522,Loyal Customers
12829.0,5,2,2,522,Loyal Customers
15101.0,5,2,2,522,Loyal Customers
15224.0,5,2,2,522,Loyal Customers
14987.0,5,2,2,522,Loyal Customers
16322.0,5,2,2,522,Loyal Customers
17221.0,5,2,2,522,Loyal Customers
17668.0,5,2,2,522,Loyal Customers
13173.0,5,2,2,522,Loyal Customers
16454.0,5,2,1,521,Loyal Customers
12512.0,5,2,1,521,Loyal Customers
17186.0,5,2,1,521,Loyal Customers
12522.0,5,2,1,521,Loyal Customers
14624.0,5,2,1,521,Loyal Customers
17771.0,5,2,1,521,Loyal Customers
14785.0,5,2,1,521,Loyal Customers
16506.0,5,2,1,521,Loyal Customers
13651.0,5,2,1,521,Loyal Customers
17852.0,5,2,1,521,Loyal Customers
17468.0,5,2,1,521,Loyal Customers
